1.64642e-04 3.32669e+02  -3.32666e+02 0.00000e+00 
1.65163e-04 3.36899e+02  -3.36896e+02 0.00000e+00 
1.65684e-04 3.41169e+02  -3.41166e+02 0.00000e+00 
1.66205e-04 3.45479e+02  -3.45476e+02 0.00000e+00 
1.66726e-04 3.49830e+02  -3.49826e+02 0.00000e+00 
1.67246e-04 3.54221e+02  -3.54217e+02 0.00000e+00 
1.67767e-04 3.58653e+02  -3.58650e+02 0.00000e+00 
1.68288e-04 3.63128e+02  -3.63124e+02 0.00000e+00 
1.68809e-04 3.67644e+02  -3.67640e+02 0.00000e+00 
1.69330e-04 3.72202e+02  -3.72198e+02 0.00000e+00 
1.69851e-04 3.76802e+02  -3.76798e+02 0.00000e+00 
1.70372e-04 3.81444e+02  -3.81440e+02 0.00000e+00 
1.70893e-04 3.86129e+02  -3.86126e+02 0.00000e+00 
1.71414e-04 3.90858e+02  -3.90855e+02 0.00000e+00 
1.71935e-04 3.95630e+02  -3.95627e+02 0.00000e+00 
1.72456e-04 4.00446e+02  -4.00442e+02 0.00000e+00 
1.72977e-04 4.05304e+02  -4.05300e+02 0.00000e+00 
1.73498e-04 4.10206e+02  -4.10203e+02 0.00000e+00 
1.74019e-04 4.15154e+02  -4.15150e+02 0.00000e+00 
1.74540e-04 4.20147e+02  -4.20143e+02 0.00000e+00 
1.75061e-04 4.25185e+02  -4.25181e+02 0.00000e+00 
1.75582e-04 4.30267e+02  -4.30263e+02 0.00000e+00 
1.76103e-04 4.35393e+02  -4.35389e+02 0.00000e+00 
1.76624e-04 4.40565e+02  -4.40561e+02 0.00000e+00 
1.77145e-04 4.45785e+02  -4.45781e+02 0.00000e+00 
1.77665e-04 4.51052e+02  -4.51048e+02 0.00000e+00 
1.78186e-04 4.56364e+02  -4.56360e+02 0.00000e+00 
1.78707e-04 4.61722e+02  -4.61718e+02 0.00000e+00 
1.79228e-04 4.67126e+02  -4.67122e+02 0.00000e+00 
1.79749e-04 4.72579e+02  -4.72575e+02 0.00000e+00 
1.80270e-04 4.78080e+02  -4.78076e+02 0.00000e+00 
1.80791e-04 4.83630e+02  -4.83626e+02 0.00000e+00 
