1.34438e-04 4.06856e+02  -4.06854e+02 0.00000e+00 
1.34779e-04 4.10577e+02  -4.10574e+02 0.00000e+00 
1.35119e-04 4.14323e+02  -4.14321e+02 0.00000e+00 
1.35459e-04 4.18096e+02  -4.18094e+02 0.00000e+00 
1.35800e-04 4.21896e+02  -4.21893e+02 0.00000e+00 
1.36140e-04 4.25721e+02  -4.25719e+02 0.00000e+00 
1.36480e-04 4.29574e+02  -4.29571e+02 0.00000e+00 
1.36820e-04 4.33453e+02  -4.33451e+02 0.00000e+00 
1.37161e-04 4.37359e+02  -4.37357e+02 0.00000e+00 
1.37501e-04 4.41293e+02  -4.41290e+02 0.00000e+00 
1.37841e-04 4.45253e+02  -4.45251e+02 0.00000e+00 
1.38182e-04 4.49241e+02  -4.49239e+02 0.00000e+00 
1.38522e-04 4.53257e+02  -4.53254e+02 0.00000e+00 
1.38862e-04 4.57300e+02  -4.57297e+02 0.00000e+00 
1.39203e-04 4.61370e+02  -4.61368e+02 0.00000e+00 
1.39543e-04 4.65469e+02  -4.65466e+02 0.00000e+00 
1.39883e-04 4.69595e+02  -4.69593e+02 0.00000e+00 
